2025/05/10 23:45:53 Running in pod
2025/05/10 23:45:54 Connected to vCenter: wv-qa-vc.wv.mentorg.com
2025/05/10 23:45:54 Connected to OpenStack
2025/05/10 23:45:54 VCenter Thumbprint: c6:d4:67:f5:6c:74:c8:66:63:66:94:03:cc:e9:58:65:3b:d5:47:f5
2025/05/10 23:45:54 Creating volumes in OpenStack
Volume created successfully %s available
Volume created successfully %s available
2025/05/10 23:46:05 Volumes created successfully
2025/05/10 23:46:05 CBT Enabled: true
2025/05/10 23:46:05 Starting NBD server
2025/05/10 23:46:07 Copying disk 0, Completed: 0%
2025/05/10 23:46:07 Executing nbdkit --exit-with-parent --readonly --foreground --unix=/tmp/nbdkit-4024129796/nbdkit.sock --pidfile=/tmp/nbdkit-4024129796/nbdkit.pid --verbose -D vddk.datapath=0 -D nbdkit.backend.datapath=0 vddk libdir=/home/fedora/vmware-vix-disklib-distrib server=wv-qa-vc.wv.mentorg.com user=ad001\z0053zhf password=[REDACTED] thumbprint=c6:d4:67:f5:6c:74:c8:66:63:66:94:03:cc:e9:58:65:3b:d5:47:f5 compression=fastlz config=/home/fedora/vddk.conf transports=file:nbdssl:nbd vm=moref=vm-42072 snapshot=snapshot-42343 [wv-qa-tin-01] pf9-testdb-mysql-01/pf9-testdb-mysql-01.vmdk 
2025/05/10 23:46:07 Copying disk 1, Completed: 0%
2025/05/10 23:46:07 Executing nbdkit --exit-with-parent --readonly --foreground --unix=/tmp/nbdkit-3434910524/nbdkit.sock --pidfile=/tmp/nbdkit-3434910524/nbdkit.pid --verbose -D vddk.datapath=0 -D nbdkit.backend.datapath=0 vddk libdir=/home/fedora/vmware-vix-disklib-distrib server=wv-qa-vc.wv.mentorg.com user=ad001\z0053zhf password=[REDACTED] thumbprint=c6:d4:67:f5:6c:74:c8:66:63:66:94:03:cc:e9:58:65:3b:d5:47:f5 compression=fastlz config=/home/fedora/vddk.conf transports=file:nbdssl:nbd vm=moref=vm-42072 snapshot=snapshot-42343 [wv-qa-tin-01] pf9-testdb-mysql-01/pf9-testdb-mysql-01_1.vmdk 
2025/05/10 23:46:09 Attaching volumes to VM
2025/05/10 23:46:10 Waiting for volume attachment
2025/05/10 23:46:15 Attaching volumes to VM
2025/05/10 23:46:16 Waiting for volume attachment
2025/05/10 23:46:21 /usr/sbin/nbdcopy --progress=3 --target-is-zero nbd+unix:///?socket=/tmp/nbdkit-4024129796/nbdkit.sock /dev/vdb
2025/05/10 23:46:22 Copying disk 0, Completed: 0%
2025/05/10 23:46:22 Copying disk 0, Completed: 0%
2025/05/10 23:46:23 Copying disk 0, Completed: 0%
2025/05/10 23:46:23 Copying disk 0, Completed: 0%
2025/05/10 23:46:24 Copying disk 0, Completed: 0%
2025/05/10 23:46:24 Copying disk 0, Completed: 0%
2025/05/10 23:46:25 Copying disk 0, Completed: 0%
2025/05/10 23:46:25 Copying disk 0, Completed: 0%
2025/05/10 23:46:26 Copying disk 0, Completed: 0%
2025/05/10 23:46:26 Copying disk 0, Completed: 0%
2025/05/10 23:46:27 Copying disk 0, Completed: 0%
2025/05/10 23:46:28 Copying disk 0, Completed: 0%
2025/05/10 23:46:29 Copying disk 0, Completed: 0%
2025/05/10 23:46:29 Copying disk 0, Completed: 0%
2025/05/10 23:46:30 Copying disk 0, Completed: 0%
2025/05/10 23:46:31 Copying disk 0, Completed: 0%
2025/05/10 23:46:32 Copying disk 0, Completed: 0%
2025/05/10 23:46:32 Copying disk 0, Completed: 0%
2025/05/10 23:46:33 Copying disk 0, Completed: 0%
2025/05/10 23:46:33 Copying disk 0, Completed: 0%
2025/05/10 23:46:34 Copying disk 0, Completed: 0%
2025/05/10 23:46:34 Copying disk 0, Completed: 0%
2025/05/10 23:46:35 Copying disk 0, Completed: 0%
2025/05/10 23:46:36 Copying disk 0, Completed: 0%
2025/05/10 23:46:36 Copying disk 0, Completed: 0%
2025/05/10 23:46:37 Copying disk 0, Completed: 0%
2025/05/10 23:46:37 Copying disk 0, Completed: 0%
2025/05/10 23:46:38 Copying disk 0, Completed: 0%
2025/05/10 23:46:39 Copying disk 0, Completed: 0%
2025/05/10 23:46:40 Copying disk 0, Completed: 0%
2025/05/10 23:46:41 Copying disk 0, Completed: 0%
2025/05/10 23:46:42 Copying disk 0, Completed: 0%
2025/05/10 23:46:43 Copying disk 0, Completed: 0%
2025/05/10 23:46:44 Copying disk 0, Completed: 0%
2025/05/10 23:46:45 Copying disk 0, Completed: 0%
2025/05/10 23:46:46 Copying disk 0, Completed: 0%
2025/05/10 23:46:47 Copying disk 0, Completed: 0%
2025/05/10 23:46:48 Copying disk 0, Completed: 0%
2025/05/10 23:46:49 Copying disk 0, Completed: 0%
2025/05/10 23:46:50 Copying disk 0, Completed: 0%
2025/05/10 23:46:51 Copying disk 0, Completed: 0%
